sample_index	turns_in_diag	first_utt_idx_in_diag	human_response	prompt	corpus	model_response_r0	attribs_r0	attribs_tag_r0	model_response_r1	attribs_r1	attribs_tag_r1	model_response_r2	attribs_r2	attribs_tag_r2	model_response_r3	attribs_r3	attribs_tag_r3	model_response_r4	attribs_r4	attribs_tag_r4	comprehend_attribs	comprehend_attribs_tag	bleu_score	bleu_brevity_penalty	bleu_length_ratio	mauve_score	bert_f1_r0	bert_f1_r1	bert_f1_r2	bert_f1_r3	bert_f1_r4
1430	89	52	B:You know, that's really, uh, kind of a far fetched idea,. I know,. and I don't think people probably think those things consciously,	A:Right.. And they, they're very,\nB:Well,. and, you know, they're very willing to be taught in many cases now, too,. but, you know, there's just always this kind of resentment underlying. I think that when they receive help from us, they want it,. but, they don't want it, I mean\nA:You're you're exactly right.\nB:It's kind of a catch twenty-two.\nA:Uh-huh.. It, it's sort of illustrated by the, uh, World Bank and International Monetary Fund not wanting to continue to do business there. because they offer assistance, then don't get repaid.\nB:Yeah,. yeah.\nA:So it's sort of a thumbing of the nose, uh, approach.. They need it,. and they need to live up to certain regulations and expectations,. but uh, then don't.. Of course it's a very volatile government, uh, situation, too.\nB:Well,. and I think that, you know, it,. somewhat a sarcastic view,. but some of those drugs czars, you know,. they, they know that by pumping that poison into our system that that's the way to bring us to our knees, more on their level.\nA:Uh-huh.. You know,	switchboard	It's, uh...\n	0.14168648421764374|-0.8038336634635925|0.023244250565767288|-0.3634851276874542|-0.3096923232078552|-0.12514154613018036|-0.08400411903858185|-0.1964607536792755|-0.08054147660732269|-0.08882369101047516	-1.0|-0.08919376879930496|0.2644439935684204|0.23971742391586304|0.011433125473558903|-0.07730060815811157|-0.02496035024523735|-0.2957786023616791|-0.2138478010892868|-0.19644524157047272	So let's get back, and, by the way, if you're going to use the United States government this, uh, or a government, uh, or a government that, if you really need us please help you get that money, this money, and we get back to you.\n	-0.2761807441711426|-0.657317578792572|-0.3593274652957916|-0.43914473056793213|-0.3313206136226654|-0.18835517764091492|-0.17340628802776337|-0.1971176564693451|-0.15918518602848053|-0.26891082525253296	-0.14524346590042114|-0.46031129360198975|-1.0|-0.1528765708208084|-0.0012944802874699235|-0.07030649483203888|-0.07380259782075882|-0.5852872133255005|-0.3616325557231903|0.14577361941337585	Yeah.\n	-0.7512800693511963|-0.6169805526733398|0.025531170889735222|0.011614486575126648|-1.0|-0.04927278310060501|-0.1597248911857605|-0.15374769270420074|0.04104514420032501|-0.08517536520957947	-0.5179694294929504|-0.2871302664279938|0.0767328143119812|0.012976438738405704|0.6034497618675232|-0.051758382469415665|-0.22246958315372467|-0.17894203960895538|-0.0011410475708544254|-0.01565859653055668	But that, you know, there are other issues in the world in this area. Uh, I'm going to lay out what, how many Americans are currently in the process of, uh, paying the price, and what happened, and also what they think the impact will be.\n	-0.1544898897409439|-1.0|-0.3029870092868805|-0.19966858625411987|-0.14341528713703156|-0.03878093510866165|-0.017641056329011917|-0.01960545964539051|-0.10604250431060791|-0.0634719580411911	-0.211311474442482|-0.25063323974609375|-0.6790410876274109|-0.2990143895149231|-0.14984944462776184|0.048573002219200134|0.09843455255031586|-0.2924307584762573|-0.19066305458545685|0.07179220020771027	Okay, I'm not, um.. I'm just,\n	1.0|0.10688266903162003|-0.05730188265442848|-0.08598209917545319|0.14920645952224731|-0.06881263107061386|-0.03636099398136139|-0.11411144584417343|-0.04118406027555466|0.00648964149877429	-0.5379889607429504|-0.34842562675476074|-0.2134246677160263|0.21297864615917206|-0.037593383342027664|0.23847268521785736|0.15404373407363892|0.0003940963069908321|-0.25903084874153137|0.02229408361017704	-0.20434333384037018|-1.0|-0.12607912719249725|-0.11288752406835556|-0.04466111958026886|-0.025565072894096375|-0.039507679641246796|0.19222629070281982|-0.09969796985387802|-0.0861484557390213	-0.1959802210330963|-0.2635408043861389|0.14124983549118042|-0.26137787103652954|0.014084388501942158|-0.040767136961221695|0.008569104596972466|-0.9582692980766296|-0.015551880933344364|0.4494362473487854	0.0	1.0	1.6925925925925926	0.004072096261961255	0.7319179177284241	0.7212215662002563	0.6761773824691772	0.7543324828147888	0.7668172717094421
274	198	169	B:Radio.	A:Yeah.\nB:neither are tapes.. I, I we buy cassette tapes,\nA:Yeah.\nB:and machines will eat them,\nA:Yeah.\nB:and so, the best bet, any, these days are compact disk,. those things are practically indestructible\nA:But, I, I guess, you know, the old country and western music you,. back then when I was a kid, there wasn't that much T V,\nB:Oh, no.\nA:so that's all you had to listen to was the, radio,	switchboard	And you couldn't even buy a radio?\n	-1.0|-0.19978401064872742|-0.29409340023994446|-0.09318643808364868|-0.07706763595342636|-0.006406904198229313|-0.29664137959480286|-0.19327378273010254|0.08960054069757462|-0.5588584542274475	-0.5607853531837463|-0.40166693925857544|-0.6371264457702637|0.10441432148218155|-0.022509943693876266|0.013101334683597088|-0.12290941923856735|-0.33060216903686523|-0.09401342272758484|0.07826521247625351	It would be, it would be\n	-0.6061297655105591|-0.13915446400642395|-0.3368629813194275|-0.19313263893127441|-0.12293212115764618|0.41719886660575867|-0.10671646147966385|-0.16633524000644684|-0.18740713596343994|-0.5717936158180237	-1.0|-0.39181897044181824|-0.12625008821487427|-0.2557225525379181|0.24221175909042358|0.06073923781514168|0.034739937633275986|0.07937810570001602|0.14169400930404663|-0.3136647045612335	But, no, when you listen to the, the, for example what, back then\n	-0.7215802073478699|-0.5460988879203796|0.09751252084970474|-0.04678822681307793|-0.28576672077178955|-0.2526244819164276|-0.3895780146121979|-0.24746572971343994|-0.05423152074217796|-0.24255380034446716	0.04221852123737335|-1.0|-0.5802313685417175|0.39240652322769165|0.03473396226763725|-0.14135868847370148|-0.27612143754959106|-0.5873384475708008|0.06544464826583862|0.2948341965675354	that you were a part of from high school to university\n	-0.35205405950546265|-0.0427180714905262|-0.529791533946991|-0.41872817277908325|-0.016979938372969627|-0.0802612155675888|0.13469043374061584|-0.08852843195199966|0.10563657432794571|-0.40645501017570496	-1.0|0.11432791501283646|0.008763688616454601|-0.1285688579082489|0.15996867418289185|0.04991765320301056|0.20492953062057495|-0.41383638978004456|0.12456776946783066|-0.0794115886092186	You know, the, the radio. So, I, I guess, now I had a new instrument, I guess, the way it could be beat over the turntables was right there.\n	-0.354804128408432|0.3088041841983795|-0.08735546469688416|-0.5390875339508057|-0.5096259117126465|-0.5311986804008484|-0.5180063843727112|-0.5361042618751526|-0.4037128984928131|-1.0	-0.2807476222515106|-0.9759610891342163|0.07625958323478699|0.1708393543958664|0.38872087001800537|0.03531957417726517|-0.017964329570531845|-0.7372679114341736|-0.00315803661942482|0.17052997648715973	1.0|0.004016259219497442|-0.16569042205810547|-0.12273874133825302|-0.05079418793320656|0.3077396750450134|0.031900711357593536|-0.06166622415184975|0.13756246864795685|-0.3539216220378876	-0.18312211334705353|-0.21994343400001526|0.3431364893913269|-0.06578230112791061|-0.011282283812761307|0.24690237641334534|0.1346418857574463|0.014068054966628551|0.3261851668357849|0.3754037618637085	0.0	1.0	1.6925925925925926	0.004072096261961255	0.6848577857017517	0.6061080694198608	0.6331467628479004	0.6369247436523438	0.6671661734580994
748	161	25	A:Sure.. Exactly.	B:Uh-huh.\nA:and still I ended up going two semesters when I got out just to get my degree.\nB:That's pretty good.\nA:But, I've been in school ever since\nB:That's good.\nA:Yeah,. I guess.\nB:Yeah,. that's, uh,. I don't know.. There's other kinds of service to the country that could be done, you know,\nA:Yeah,. I mean if you don't like,\nB:I mean, working in the national parks, Uh, working, clean up the roadsides	switchboard	Yeah you know that's something I really feel a lot of people, people have a problem with\n	-0.8227857351303101|-0.831434428691864|-0.327867329120636|-0.3864051103591919|-0.030264222994446754|-0.7882654666900635|-0.2782154381275177|-0.11009899526834488|-0.17943958938121796|-0.305663138628006	-0.7926782369613647|-0.5125916600227356|0.004312684293836355|-0.35000279545783997|-0.040809955447912216|-0.5384083986282349|-0.8370304703712463|-0.7944234609603882|-1.0|-0.8398072719573975	Well..\n	1.0|0.0929480716586113|-0.06576517224311829|-0.11855407804250717|-0.24739916622638702|0.046610958874225616|-0.01667630486190319|-0.05887699872255325|-0.09755096584558487|-0.05268270894885063	0.07493337988853455|-0.09296449273824692|0.12809836864471436|0.08246515691280365|-0.12919263541698456|-0.12944315373897552|-0.08612772077322006|-0.2576053738594055|-0.28473949432373047|-0.3189992606639862	Yeah,. You're right.\n	-0.31642162799835205|-0.23579196631908417|-0.531146764755249|-0.1580522060394287|0.3654511570930481|0.006501029245555401|-0.0843716561794281|-0.2502138614654541|-0.17639651894569397|-0.2243526428937912	-1.0|-0.05885351821780205|-0.10922656953334808|0.6782220602035522|-0.03928158059716225|0.46677929162979126|-0.3577541410923004|-0.7007787227630615|-0.9471892714500427|-0.2886543273925781	uh?\n	0.020816126838326454|-0.13944770395755768|0.07708878070116043|0.3748261332511902|0.7148005962371826|-0.14283685386180878|0.025217562913894653|0.07372047007083893|0.009857013821601868|-0.012761322781443596	-0.5846598148345947|-0.20876091718673706|-0.398194819688797|-0.1452883780002594|-0.03279690071940422|-0.5482674837112427|-0.0888202041387558|-1.0|0.3541465103626251|0.41385868191719055	That's pretty good.\n	-0.04650125280022621|-0.0989735871553421|-0.06224428489804268|-0.055100902915000916|0.05359327793121338|-1.0|-0.004105355124920607|-0.14397160708904266|-0.03369085490703583|-0.02021876350045204	-0.18124344944953918|0.02497643418610096|-0.370524525642395|0.2585098147392273|-0.011103617027401924|0.06834348291158676|-0.04567567631602287|0.09962345659732819|-0.05606531724333763|0.0034888270311057568	0.4576040804386139|-0.37444883584976196|-0.4665210545063019|-0.18128050863742828|-0.1413632184267044|-0.4877273738384247|-0.054535798728466034|-0.7738706469535828|0.029205692932009697|0.01506078988313675	-0.6953567862510681|-0.07960696518421173|-0.12154331058263779|0.500149667263031|0.09714309126138687|0.6359230279922485|-0.10090270638465881|0.3337741494178772|0.02796410582959652|1.0	0.0	1.0	1.6925925925925926	0.004072096261961255	0.6626931428909302	0.7883368730545044	0.7622600793838501	0.6893322467803955	0.6872175335884094
1758	92	17	A:Oh nice.	B:You just have to be real careful.\nA:Oh, I see.\nB:We use, uh, uh, a two inch brush with, uh, on a slant\nA:Uh-huh.. Uh-huh.\nB:and that mostly does it even though you still make mistakes.. But.\nA:Huh. Well are you going to paint the outside of your house too?\nB:Well, yeah.. I think I am going to do it this spring actually.\nA:Oh really?\nB:Yeah,. there are six houses.. See the people that own the house they, uh, pay for anything like that, that we do.  As far as the the materials.	switchboard	Yeah you take that up as well, are you going to paint, you know, not all the things like that up all the time, but most of the houses, most of the rooms, like most of the big rooms.\n	-0.45373326539993286|-0.6878121495246887|-0.5860974192619324|-0.5310651063919067|-1.0|-0.31550610065460205|0.23752658069133759|-0.6288062334060669|-0.41517582535743713|0.003084231400862336	-0.994102954864502|-0.4884830415248871|-0.39917999505996704|-0.08563704788684845|0.19447404146194458|-0.11891964823007584|0.12610481679439545|-0.19675813615322113|-0.8406187295913696|0.21059836447238922	Oh yeah. I'd be very proud of that, right.\n	1.0|-0.09221673756837845|-0.424782931804657|-0.029011808335781097|-0.19250424206256866|0.03040471486747265|0.38146233558654785|0.013157018460333347|-0.030841505154967308|-0.16781632602214813	-0.12454845011234283|0.2683604657649994|-0.2272767573595047|0.4163033664226532|0.07425930351018906|0.36266693472862244|0.4427821934223175|-0.25441908836364746|0.0035351854749023914|-0.37158888578414917	Uh.. It's like a little something or something or something or something.Â \n	-1.0|-0.09728043526411057|0.08513039350509644|-0.1538686603307724|-0.21891209483146667|-0.24511203169822693|-0.5052177906036377|-0.43704915046691895|-0.805209219455719|-0.29377374053001404	0.5150759816169739|0.0460917204618454|-0.19424472749233246|-0.4546701908111572|-0.4163154363632202|-0.8587016463279724|-0.5207918882369995|-0.815437376499176|-0.9939991235733032|0.6825612187385559	I saw a couple of pictures that's right?\n	0.6497313380241394|-0.27137869596481323|0.12153053283691406|-0.5607051253318787|-0.5266560316085815|-0.2479333132505417|0.020220305770635605|-0.042907070368528366|-0.5098662972450256|0.25878241658210754	-1.0|-0.0834636390209198|-0.5935379266738892|0.022123683243989944|-0.02959950640797615|0.31254175305366516|0.1468694657087326|-0.5595164895057678|-0.5088832974433899|0.30918028950691223	Yeah.\n	-1.0|0.10796497017145157|-0.7201786041259766|-0.08152870833873749|-0.12713544070720673|-0.010960740968585014|0.2106921672821045|0.017659297212958336|0.024818459525704384|-0.09720202535390854	-0.663793683052063|0.24261309206485748|0.06684082001447678|0.0512910820543766|-0.15436631441116333|-0.00506558595225215|0.3561663031578064|-0.1172679215669632|0.0203322172164917|0.13137556612491608	-1.0|-0.07933269441127777|-0.6773096919059753|-0.08810528367757797|-0.12118450552225113|-0.065556600689888|0.12933188676834106|-0.06930530816316605|-0.1363941729068756|-0.08417679369449615	0.15607912838459015|-0.23827990889549255|-0.05238807201385498|-0.010800844058394432|-0.06211954727768898|0.05912037938833237|0.14947432279586792|0.028868861496448517|-0.08666127920150757|-0.07051391899585724	0.0	1.0	1.6925925925925926	0.004072096261961255	0.6346655488014221	0.7012887597084045	0.6549929976463318	0.6426546573638916	0.698040783405304
1942	103	69	B:Hard rock?	A:Yeah.\nB:Oh, okay,. well,\nA:My boss listens to that.. We listen to ninety-seven point nine. and that's his station, so I call it the jeezer music.\nB:Okay,. now what kind of music do you listen to?\nA:Well, I listen to like ninety-seven point one, you know, more,\nB:What what is that?\nA:It's more, uh,. I don't know how to explain it,. kind of pop, you know, rock.\nB:Rock.\nA:Yeah.	switchboard	You know what that means? Something really heavy.\n	0.3709399104118347|-0.36638689041137695|-1.0|-0.055424418300390244|-0.6304714679718018|-0.017942441627383232|-0.35567060112953186|-0.18765737116336823|0.736997663974762|-0.03162771835923195	0.022668179124593735|0.3775974214076996|-0.7821952104568481|0.3206908106803894|0.3602358400821686|-0.36825212836265564|-0.195320725440979|-0.18675373494625092|0.01254056766629219|0.057434458285570145	I like, you know, not all that much, but it all sort of, uh, gets in there, kinda, uh , you know.,\n	-0.49205687642097473|0.13629435002803802|1.0|-0.9091150760650635|-0.3089562952518463|-0.8677030205726624|0.16160716116428375|-0.38676145672798157|0.5537809729576111|-0.9787638187408447	-0.5398315787315369|-0.5883565545082092|-0.2611941397190094|0.42359980940818787|-0.1508544385433197|-0.2811446487903595|-0.24613718688488007|-0.9122065901756287|-0.5841228365898132|0.38425949215888977	I'm interested in it.\n	0.37637630105018616|1.0|-0.8191803693771362|-0.007404303178191185|-0.13926078379154205|-0.09810907393693924|-0.03195282816886902|-0.15358588099479675|0.20514008402824402|-0.8795768022537231	0.37177425622940063|0.16941049695014954|-0.37988612055778503|0.07538390904664993|0.1183815747499466|-0.26777711510658264|0.16047711670398712|-0.4365133047103882|-0.1881105899810791|0.1958618015050888	You know, it's kind of like, uh-. pop. I mean, like rock?\n	-0.670071005821228|-0.25276172161102295|-0.15077243745326996|-0.5549470782279968|-0.19755138456821442|-0.48274707794189453|-0.17534756660461426|-0.3800046741962433|-0.4812079071998596|-1.0	0.6924493312835693|-0.6039621829986572|-0.6291753053665161|-0.5058878064155579|-0.9085419774055481|-0.7240996360778809|-0.6989865303039551|-0.23962703347206116|-0.16217660903930664|0.10538149625062943	Yeah, I guess that's the theme, in many ways.\n	-0.3815997838973999|-1.0|0.06455663591623306|-0.14845460653305054|0.1471003144979477|-0.09468820691108704|-0.029665103182196617|-0.07492640614509583|-0.04272424429655075|-0.01039174385368824	-0.22095997631549835|-0.0013517976040020585|-0.25372403860092163|0.09082713723182678|0.0642622858285904|-0.10889855772256851|0.02953067421913147|-0.18586362898349762|-0.09151562303304672|0.027325807139277458	0.6539487838745117|-0.4310196340084076|-1.0|-0.07373780757188797|-0.039124611765146255|-0.02761627919971943|-0.05051741749048233|-0.024276800453662872|0.07991687953472137|0.023702150210738182	-0.3191400468349457|0.1198742613196373|0.14167067408561707|-0.18166078627109528|-0.019839268177747726|-0.19658154249191284|-0.0728839710354805|-0.0490167997777462|-0.016628995537757874|-0.04039142653346062	0.0	1.0	1.6925925925925926	0.004072096261961255	0.6589881181716919	0.5873682498931885	0.6160929203033447	0.6778597831726074	0.6070672273635864
2047	204	80	B:but right at the very bottom	A:and then\nB:okay i'm between\nA:continue south\nB:okay\nA:right. until. do you you you have no carved wooden pole at all\nB:yes\nA:a totem pole sort of thing\nB:yes uh-huh\nA:right	maptask																										
3419	120	40	B:right	A:right. what about do you have an abandoned truck\nB:what way to the left of it\nA:uh-huh\nB:yeah\nA:is there anything between the old temple and the truck\nB:eh slate mountain\nA:right. i don't have that\nB:mmhmm\nA:go two and a half inches up over the temple the up the side of it	maptask																										
3017	228	193	A:yes	B:uh-huh\nA:turn right now go diagonally down towards the not a steep diagonal towards the middle\nB:uh-huh\nA:edge of the map\nB:right\nA:okay. now should come to a do you have a monument\nB:i have a monument\nA:go round the monument keeping the monument always on your left\nB:always on my left	maptask																										
2741	164	72	B:mmhmm	A:not not completely down. just get past the avalanche right\nB:past the avalanche\nA:and then ehm eventually i want you to go round concealed hideout\nB:right\nA:okay\nB:what do you mean round\nA:to. to the right of concealed hideout\nB:so right over to the end of the page\nA:uh-huh. and i want you to draw underneath concealed hideout stop just underneath concealed bit there. okay are you there	maptask																										
2495	170	89	A:no	B:so where's where do i go from there\nA:right okay. right round the white water or right round the rapids\nB:taking it round from the top or\nA:from the top. but stay quite close 'cause you don't otherwise you're going to be in that stone creek\nB:right okay. right. so i'm now at the top left-hand corner of the rapids\nA:right okay. come down come straight down to below that like a straight line down but take it to at least two inches below your outlaws' hideout not like you mean like straight down but like\nB:oh i see what you mean yeah\nA:in like length further down from that on the page\nB:have you got a manned fort below the rapids	maptask																										
